pmcid	doi	journal	year	server_named	evidence_sentence
PMC13099694	10.1073/pnas.2515274123	PNAS	2026	False	To model the homologous FPV mutations, the canine TfR structure was predicted using AlphaFold3 ( 71 ) and placed into the cryoEM density of the black-backed jackal (bbj) TfR in complex with the CPV-2 capsid using rigid-body fitting (EMDB ID: 20002) (PDB ID: 6OAS) ( 42 ).
PMC13079372	10.1073/pnas.2537754123	PNAS	2026	False	Consistent with this model, AlphaFold3 predictions indicate that PopeOR01, PopeOR15, and PopeOR73 assemble into OR–Orco complexes ( SI Appendix , Fig.
PMC13056113	10.1073/pnas.2525313123	PNAS	2026	False	To investigate the structural consequences of the East African clade C aa substitutions in the NTD, we modeled the WT EMC and HKU270/CAC9690/ CAC10200 NTD in AlphaFold 3 ( 32 ).
PMC13037866	10.1073/pnas.2528398123	PNAS	2026	False	A model of Nsp14 SUMOylated at K9 and K200 was generated using AlphaFold 3 (see details in SI Appendix , Methods ).
PMC13012075	10.1073/pnas.2520626123	PNAS	2026	False	Transmembrane Region, AlphaFold3 Predictions, and Modeling.
PMC12993966	10.1073/pnas.2536412123	PNAS	2026	False	To further corroborate this conclusion from a structural standpoint, we modeled the potential interaction patterns among FZR1, MAVS, and TRAF3/6 using AlphaFold3.
PMC12974471	10.1073/pnas.2525865123	PNAS	2026	False	The structure of human CD164 is predicted using AlphaFold3, and is shown with MD1, CRD, and MD2 domains.
PMC12933149	10.1073/pnas.2516874123	PNAS	2026	False	( C ) Ribbon representation of AlphaFold3 generated complexes formed upon interaction of WIV1 S-RBD (dark midnight blue, with RBM highlighted in deep carmine pink) with bACE2 ( Upper Left ), hACE2-WT ( Upper Middle ), and hACE2-T92I ( Upper Right ), cACE2 ( Lower Left ), rdACE2 ( Lower Middle ), and pACE2 ( Lower Right ), as they appear at the end of 500 ns MD simulation; the dynamics of WIV1 S RB...
PMC12890884	10.1073/pnas.2524504123	PNAS	2026	False	For subunits identified in this study, molecular models of rat α6, β1, and β3 were predicted using the AlphaFold3 server ( 51 ), and residues were renumbered to reflect the removal of signal peptides.
PMC12890903	10.1073/pnas.2520476123	PNAS	2026	False	The Minc03784 amino acid sequence was used to generate a predicted 3D structural model via AlphaFold 3 ( 19 ) ( SI Appendix , Fig.
PMC12867707	10.1073/pnas.2516310123	PNAS	2026	False	We compared the predicted structures of these three JDPs using AlphaFold3 and simulated the docking of Orb2 and Funes.
PMC12867755	10.1073/pnas.2518712123	PNAS	2026	False	Structural predictions for representative eukaryotic AGOs were generated with AlphaFold3 ( 98 ).
PMC12846789	10.1073/pnas.2515691123	PNAS	2026	False	Given the presence of BORC and BLOC-1 subunits throughout Eukarya, we first generated AlphaFold3 models of BORC across several model species: Arabidopsis thaliana, Mixina glutinosa, Aplysia californica, Dictyostelium discoideum , Caenorhabditis elegans , and Homo sapiens .
PMC12818561	10.1073/pnas.2422157123	PNAS	2026	False	For example, Google DeepMind released noncommercial access to AlphaFold3 only after sustained calls from the scientific community, illustrating the synergy between a commercial actor’s pursuit of scientific credibility and the scientific community’s need to scrutinize, extend, test, and interpret the work ( 124 – 127 ).
PMC12799129	10.1073/pnas.2524700123	PNAS	2026	True	The protein structures were predicted using AlphaFold Server ( https://alphafoldserver.com/ ) and further analyzed using PyMOL software.
PMC12773759	10.1073/pnas.2524899122	PNAS	2026	False	Notably, structural models of RNF14–E2 complexes generated by AlphaFold3 showed clashing between the E3 and UBE2L3 catalytic cysteines ( SI Appendix , Fig.
PMC12773762	10.1073/pnas.2528664123	PNAS	2026	False	( 10 ) using mass photometry, and the 2:1 stoichiometry was subsequently modeled by AlphaFold3.
PMC12773733	10.1073/pnas.2520123123	PNAS	2026	False	Structural analysis using AlphaFold3 suggests that JPT2 may interact with β-Tubulin at the Paclitaxel-binding site, supporting its role as a key regulatory protein within the microtubule lumen.
PMC12773783	10.1073/pnas.2525513122	PNAS	2026	False	Structural modeling using AlphaFold 3 predicted a potential protein–protein interaction between BbGT86 and BbMT85, and so we continued with our analyses on these candidates to learn if they were part of the methylglucosylation pathway for phenolics ( SI Appendix , Fig.
PMC7617332	10.1126/science.adp7201	Science	2024	False	Based on an AlphaFold3 model of a pre-N-CCDC134 complex, we made three point mutations (hereafter “RLS”) on one face of a predicted helical segment of the pre-N domain ~40 a.a. distal to the SRT pseudosubstrate site in HSP90B1 ( fig.S7G ).
PMC12853130	10.1126/science.adx9717	Science	2025	False	AlphaFold3 ( 32 ) predicted that NUDT5 arginine 70 (R70) resides in the interface between NUDT5 and PPAT and forms salt bridges with PPAT glutamine 26 (Q26) and glutamate 228 (E228) ( Fig.
PMC7618291	10.1126/science.adw0053	Science	2025	False	This contradicts an early computational modelling study that suggested a head-to-tail interaction between CDK7 and CDK2 ( 23 ) but is compatible with predictions from AlphaFold3 (see below) ( 24 ).
PMC7618180	10.1126/science.adv9309	Science	2025	False	This E4 activity depends on the UBL domain which was predicted by AlphaFold3 ( Fig.
PMC13164876	10.1126/science.adr8382	Science	2025	False	Model building was performed by docking homology models of trimer (generated by AlphaFold 3 ( 85 )) and Fab Fv (generated by AbodyBuilder2 ( 86 )) in UCSF ChimeraX ( 87 ), manually building and refining in Coot 0.9.8 ( 88 ) and real space refinement using Phenix ( 89 ).
PMC12162218	10.1126/science.adv9045	Science	2025	False	The AlphaFold3 ( 54 ) model of the CARF and the TIR domains were fitted to the maps using Chimera ( 55 ) and the models was built using Coot ( 56 ).
PMC12326709	10.1126/science.adt5199	Science	2025	False	Based on analysis of an AlphaFold3-predicted ( 74 ) TnsC model, D44 is proximal to the ATP binding pocket, and N316 lies at the interaction interface between adjacent TnsC monomers near the target DNA ( fig.
PMC7617806	10.1126/science.ads8412	Science	2025	False	Model building, refinement and AlphaFold3 prediction An AlphaFold2 ( 98 ) prediction was used as an initial model for model building into the consensus, open and closed fingers maps.
PMC13092281	10.1126/science.adv7924	Science	2026	False	The AlphaFold3-predicted structure of DS-8 ( figs.
PMC7619062	10.1126/science.adz5344	Science	2026	False	We further verified the potential presence of the ZnF motif in some of these Est2/TERT using AlphaFold3 prediction ( fig.
PMC7618403	10.1126/science.aea1546	Science	2026	False	Heterotetrameric XRCC3-RAD51C-RAD51D-XRCC2 assembles RAD51 filaments AlphaFold3 modeling ( 42 ) of both BCDX2 and CX3 revealed that RAD51B and XRCC3 engage a common interface on RAD51C ( Fig.
PMC13041778	10.1126/science.adw4937	Science	2026	False	AlphaFold 3 structure predictions Amino acid sequences for proteins of interest were obtained from NCBI.
PMC7619101	10.1126/science.aeb3577	Science	2026	False	Initial models for GluA4 and TARP γ7 were generated from AlphaFold3 (Uniprot ID I3L8N9 and P62956 ), while initial models for GluA1 were from PDB 7OCE (LBD and TMD) and Alphafold3 (Uniprot ID A0A286ZS63 for NTD).
